time,n23g0013->n23g0013,n23g0013->n23g0015,n23g0013->n23g0016,n23g0013->n23g0017,n23g0013->n23g0018,n23g0013->n23g0019,n23g0013->n23g0022,n23g0013->n23g0024,n23g0015->n23g0013,n23g0015->n23g0015,n23g0015->n23g0016,n23g0015->n23g0017,n23g0015->n23g0018,n23g0015->n23g0019,n23g0015->n23g0022,n23g0015->n23g0024,n23g0016->n23g0013,n23g0016->n23g0015,n23g0016->n23g0016,n23g0016->n23g0017,n23g0016->n23g0018,n23g0016->n23g0019,n23g0016->n23g0022,n23g0016->n23g0024,n23g0017->n23g0013,n23g0017->n23g0015,n23g0017->n23g0016,n23g0017->n23g0017,n23g0017->n23g0018,n23g0017->n23g0019,n23g0017->n23g0022,n23g0017->n23g0024,n23g0018->n23g0013,n23g0018->n23g0015,n23g0018->n23g0016,n23g0018->n23g0017,n23g0018->n23g0018,n23g0018->n23g0019,n23g0018->n23g0022,n23g0018->n23g0024,n23g0019->n23g0013,n23g0019->n23g0015,n23g0019->n23g0016,n23g0019->n23g0017,n23g0019->n23g0018,n23g0019->n23g0019,n23g0019->n23g0022,n23g0019->n23g0024,n23g0022->n23g0013,n23g0022->n23g0015,n23g0022->n23g0016,n23g0022->n23g0017,n23g0022->n23g0018,n23g0022->n23g0019,n23g0022->n23g0022,n23g0022->n23g0024,n23g0024->n23g0013,n23g0024->n23g0015,n23g0024->n23g0016,n23g0024->n23g0017,n23g0024->n23g0018,n23g0024->n23g0019,n23g0024->n23g0022,n23g0024->n23g0024
15:24:49,0.000,0.044,0.040,0.042,0.040,0.040,0.156,0.039,0.044,0.000,0.039,0.041,0.039,0.045,0.145,0.043,0.048,0.045,0.000,0.048,0.044,0.053,0.161,0.044,0.048,0.048,0.046,0.000,0.050,0.045,0.162,0.041,0.050,0.049,0.047,0.045,0.000,0.047,0.053,0.043,0.046,0.044,0.047,0.050,0.043,0.000,0.051,0.045,0.048,0.043,0.135,0.134,0.131,0.173,0.000,0.043,0.048,0.041,0.040,0.043,0.039,0.042,0.041,0.000
15:24:50,0.000,0.043,0.040,0.038,0.041,0.040,0.157,0.041,0.046,0.000,0.042,0.046,0.042,0.038,0.153,0.047,0.048,0.046,0.000,0.054,0.048,0.048,0.165,0.040,0.049,0.066,0.045,0.000,0.046,0.044,0.157,0.042,0.055,0.047,0.045,0.046,0.000,0.045,0.053,0.048,0.046,0.046,0.060,0.050,0.042,0.000,0.052,0.044,0.045,0.043,0.144,0.138,0.139,0.141,0.000,0.043,0.046,0.043,0.045,0.041,0.039,0.040,0.036,0.000
15:24:51,0.000,0.044,0.040,0.041,0.042,0.041,0.160,0.050,0.048,0.000,0.046,0.043,0.045,0.042,0.160,0.040,0.049,0.046,0.000,0.048,0.045,0.069,0.156,0.041,0.059,0.048,0.045,0.000,0.044,0.049,0.156,0.042,0.047,0.055,0.047,0.047,0.000,0.048,0.053,0.045,0.045,0.045,0.047,0.045,0.043,0.000,0.053,0.044,0.045,0.045,0.133,0.134,0.137,0.175,0.000,0.045,0.045,0.046,0.040,0.040,0.044,0.046,0.041,0.000
15:24:52,0.000,0.041,0.039,0.041,0.040,0.040,0.165,0.047,0.042,0.000,0.039,0.039,0.045,0.037,0.148,0.046,0.047,0.045,0.000,0.049,0.046,0.044,0.198,0.042,0.055,0.045,0.047,0.000,0.044,0.044,0.168,0.042,0.047,0.047,0.045,0.045,0.000,0.045,0.054,0.048,0.051,0.044,0.044,0.045,0.044,0.000,0.054,0.043,0.051,0.051,0.169,0.135,0.135,0.134,0.000,0.039,0.043,0.042,0.040,0.039,0.044,0.041,0.037,0.000
15:24:53,0.000,0.044,0.037,0.040,0.039,0.042,0.158,0.051,0.041,0.000,0.043,0.041,0.042,0.046,0.152,0.045,0.049,0.048,0.000,0.112,0.046,0.045,0.166,0.042,0.048,0.047,0.047,0.000,0.045,0.048,0.168,0.041,0.048,0.051,0.045,0.047,0.000,0.050,0.054,0.042,0.046,0.044,0.045,0.045,0.043,0.000,0.054,0.044,0.051,0.050,0.141,0.143,0.044,0.133,0.000,0.038,0.043,0.042,0.039,0.038,0.038,0.046,0.036,0.000
15:24:54,0.000,0.043,0.038,0.039,0.042,0.040,0.164,0.047,0.049,0.000,0.041,0.038,0.040,0.038,0.152,0.044,0.047,0.046,0.000,0.046,0.044,0.048,0.156,0.042,0.050,0.045,0.046,0.000,0.045,0.045,0.163,0.043,0.046,0.047,0.045,0.047,0.000,0.044,0.054,0.042,0.122,0.043,0.044,0.043,0.043,0.000,0.054,0.042,0.047,0.046,0.140,0.136,0.136,0.143,0.000,0.038,0.046,0.044,0.040,0.038,0.038,0.040,0.036,0.000
15:24:55,0.000,0.043,0.038,0.039,0.040,0.040,0.157,0.039,0.045,0.000,0.039,0.038,0.039,0.038,0.168,0.047,0.049,0.045,0.000,0.046,0.045,0.045,0.162,0.041,0.047,0.048,0.047,0.000,0.045,0.044,0.164,0.042,0.047,0.048,0.046,0.046,0.000,0.046,0.055,0.043,0.046,0.042,0.044,0.043,0.042,0.000,0.051,0.044,0.046,0.046,0.151,0.137,0.135,0.135,0.000,0.045,0.047,0.041,0.040,0.039,0.037,0.042,0.039,0.000
15:24:56,0.000,0.046,0.040,0.046,0.040,0.041,0.152,0.040,0.043,0.000,0.039,0.038,0.040,0.037,0.145,0.047,0.047,0.047,0.000,0.049,0.046,0.044,0.160,0.046,0.049,0.046,0.046,0.000,0.046,0.045,0.155,0.042,0.046,0.048,0.052,0.051,0.000,0.046,0.076,0.042,0.046,0.045,0.045,0.045,0.042,0.000,0.051,0.044,0.045,0.045,0.134,0.135,0.130,0.136,0.000,0.042,0.044,0.044,0.039,0.040,0.040,0.040,0.035,0.000
15:24:57,0.000,0.043,0.046,0.043,0.041,0.039,0.167,0.044,0.041,0.000,0.045,0.042,0.038,0.039,0.156,0.044,0.050,0.046,0.000,0.047,0.046,0.051,0.166,0.045,0.050,0.046,0.061,0.000,0.044,0.046,0.167,0.042,0.047,0.049,0.046,0.049,0.000,0.049,0.054,0.042,0.045,0.044,0.053,0.044,0.047,0.000,0.053,0.046,0.051,0.047,0.147,0.134,0.132,0.139,0.000,0.038,0.041,0.042,0.047,0.038,0.038,0.040,0.042,0.000
15:24:58,0.000,0.043,0.038,0.040,0.039,0.041,0.154,0.038,0.045,0.000,0.038,0.039,0.039,0.040,0.144,0.045,0.045,0.043,0.000,0.048,0.044,0.043,0.152,0.042,0.048,0.045,0.045,0.000,0.046,0.047,0.152,0.042,0.047,0.047,0.044,0.044,0.000,0.045,0.053,0.041,0.047,0.046,0.043,0.042,0.042,0.000,0.050,0.043,0.042,0.041,0.126,0.128,0.133,0.134,0.000,0.041,0.042,0.043,0.040,0.039,0.038,0.041,0.035,0.000
